Name, Title, URL, Total Datasets, Harvest Job Count, Last Harvest Job Status, Errors (Last Job), Datasets Added (Last Job), Job URL, Job Created, Gather Started, Gather Finished, Job Finished 
"ngdc-stp-ionosonde-waf","NGDC STP Ionosonde WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/STP/Ionosonde/iso/xml","5","7","Finished","5","0","https://50.19.237.244/harvest/ngdc-stp-ionosonde-waf/job/b55c9b07-3a72-4cb4-a08b-f7148247802d","2015-07-23 15:33:11.770530","2015-07-23 15:34:14.681710","2015-07-23 15:34:15.309992","2015-07-24 02:16:05.383348"
"nmfs-ost","NMFS OST","https://inport.nmfs.noaa.gov/inport-metadata/NOAA/NMFS/OST/iso19115/xml/","14","7","Finished","0","0","https://50.19.237.244/harvest/nmfs-ost/job/f34e413c-8bc4-45c4-b084-d51e7606636e","2015-07-23 15:33:11.926360","2015-07-23 15:34:13.963066","2015-07-23 15:34:14.658056","None"
"nmfs-sero","NMFS SERO","https://inport.nmfs.noaa.gov/inport-metadata/NOAA/NMFS/SERO/iso19115/xml/","14","7","Finished","0","0","https://50.19.237.244/harvest/nmfs-sero/job/a526b549-12f7-4cd4-8af8-4b990687ccd9","2015-07-23 15:33:12.133648","2015-07-23 15:34:13.188320","2015-07-23 15:34:13.951613","None"
"nos-geodata-waf","NOS GeoData WAF","http://www.ncddc.noaa.gov/approved_recs/nos_de/geodata/","1","7","Finished","0","0","https://50.19.237.244/harvest/nos-geodata-waf/job/5ae23662-b069-4323-8dfc-8d1a95059b17","2015-07-23 15:33:12.306612","2015-07-23 15:34:11.875973","2015-07-23 15:34:13.170030","None"
"ngdc-nos-t00001-t02000-waf","NGDC NOS T00001-T02000 WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/NOS/T00001-T02000/iso/xml","3","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-nos-t00001-t02000-waf/job/6f5a9087-3d02-48ca-8097-35aa1278b35a","2015-07-23 15:33:12.478051","2015-07-23 15:34:11.106923","2015-07-23 15:34:11.850655","None"
"nos-ocm-waf","NOS OCM WAF","http://coast.noaa.gov/data/Documents/Metadata/harvest","1021","8","Finished","0","1","https://50.19.237.244/harvest/nos-ocm-waf/job/a14f1102-05be-4769-80e8-872ee054211c","2015-07-23 15:24:03.076300","2015-07-23 15:24:13.110663","2015-07-23 15:24:21.147930","2015-07-23 15:25:05.795961"
"ngdc-mgg-multibeam","NGDC MGG Multibeam","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/Multibeam/iso/xml/","2417","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-mgg-multibeam/job/bc5ef03e-d1bb-4b6a-8f54-c39e0b75bc0c","2015-07-23 15:24:03.235923","2015-07-23 15:24:09.278813","2015-07-23 15:24:13.102063","None"
"ngdc-mgg-seismic","NGDC MGG Seismic","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/MGG/Seismic/iso/xml","86","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-mgg-seismic/job/64af6bad-9db7-4209-977e-3f02883df732","2015-07-23 15:24:03.385510","2015-07-23 15:24:07.648583","2015-07-23 15:24:08.135706","None"
"nos-ocs-iso-waf","NOS OCS ISO WAF","http://fmeserver.ncd.noaa.gov/metadata/","4","7","Finished","1","0","https://50.19.237.244/harvest/nos-ocs-iso-waf/job/b1cf6948-c04c-41a5-9984-a1b4516fac63","2015-07-23 15:24:03.533527","2015-07-23 15:24:06.441573","2015-07-23 15:24:06.798162","None"
"ngdc-stp-sem-waf","NOS STP SEM WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/STP/SEM/iso/xml/","6","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-stp-sem-waf/job/b1ea2622-2893-4605-bff4-a68723150653","2015-07-23 15:24:03.680365","2015-07-23 15:24:05.293004","2015-07-23 15:24:05.669437","None"
"ngdc-stp-ionosphere-waf","NGDC STP Ionosphere WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/STP/Ionosphere/iso/xml/","7","7","Finished","1","0","https://50.19.237.244/harvest/ngdc-stp-ionosphere-waf/job/7910753f-dc16-4e24-af04-e8762ebc1857","2015-07-23 15:27:03.838464","2015-07-23 15:27:13.561114","2015-07-23 15:27:14.034530","2015-07-23 15:27:15.263830"
"ngdc-stp-dmsp-waf","NGDC STP DMSP WAF","http://www.ngdc.noaa.gov/metadata/published/NOAA/NESDIS/NGDC/STP/DMSP/iso/xml/","4","7","Finished","4","0","https://50.19.237.244/harvest/ngdc-stp-dmsp-waf/job/acc07e62-432c-42ca-a09d-c8d3ef716c79","2015-07-23 15:27:03.969154","2015-07-23 15:27:12.318376","2015-07-23 15:27:12.797467","2015-07-23 15:27:14.760145"
